id	ini	fn	pt	漢字_程序改名	ipa调类	IPA_程序改名	注釋_程序改名	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	ɔ	184
275	l	u	31	路	lu31	lu3	大～	2						
276	l	ɔk	31	賂	lɔk31	lɔk7	贿～	2						
277	l	u	451	露	lu451	lu5	～水，白～，打～	8						
278	l	u	451	鷺	lu451	lu5	白～	2						
279	ts	u	33	租	tsu33	tsu1	～金，出～	5						
280	ts	u	31	祖	tsu31	tsu3	～宗，～国	5						
281	ts	u	31	組	tsu31	tsu3	～织，小～	5						
282	ts	u	451	做	tsu451	tsu5	～好事	3						
283	tsʰ	u	33	粗	tsʰu33	tsʰu1	～心	2						
284	tsʰ	u	451	醋	tsʰu451	tsʰu5	陈～	2						
285	tsʰ	u	451	措	tsʰu451	tsʰu5	～施	2						
286	tsʰ	ɔ	451	錯	tsʰɔ451	tsʰɔ5	～误	2						
287	ɬ	u	33	蘇	ɬu33	ɬu1	～州；姓	4						
288	ɬ	u	33	酥	ɬu33	ɬu1	脆，杏仁～	5						
289	ɬ	u	451	素	ɬu451	ɬu5	～菜，朴～	5						
290	ɬ	u	451	訴	ɬu451	ɬu5	上～，倾～	5						
291	ɬ	ɔ	31	塑	ɬɔ31	ɬɔ7	雕～，～料	5						
292	k	u	33	姑	ku33	ku1	大～	2						
293	k	u	33	孤	ku33	ku1	～儿，～单	5						
294	kʰ	u	33	箍	kʰu33	kʰu1	紧～咒[文]	6						
295	kʰ	u	33	箍	kʰu33	kʰu1	围束，～桶[白]	8						
296	k	u	31	古	ku31	ku3	～代	2						
297	kʰ	u	33	估	kʰu33	kʰu1	～计	2						
298	k	u	31	牯	ku31	ku3	牛～	2						
299	k	u	31	股	ku31	ku3	～票	2						
300	k	u	31	鼓	ku31	ku3	锣～，～励	5						
301	k	u	451	故	ku451	ku5	～事，～乡	5						
302	k	u	31	蛊	ku31	ku3	养～，～惑	5						
303	k	u	451	固	ku451	ku5	～定	2						
304	k	u	451	錮	ku451	ku5	禁～	2						
305	k	u	451	雇	ku451	ku5	～人，～主	5						
306	k	u	451	顧	ku451	ku5	照～	2						
307	kʰ	u	33	枯	kʰu33	kʰu1	干～，～水	5						
308	kʰ	u	31	苦	kʰu31	kʰu3	辛～，食～（吃苦）	9						
309	kʰ	u	31	苦	kʰu31	kʰu3	～味	2						
310	kʰ	u	451	庫	kʰu451	kʰu5	水～，仓～	5						
311	kʰ	u	451	褲	kʰu451	kʰu5	裤子	2						
312		ŋ̍	25	吳	ŋ̍25	ŋ̍9	姓	1						
313		ŋ̍	451	蜈	ŋ̍451	ŋ̍5	～蚣	2						
314		ŋ̍	25	梧	ŋ̍25	ŋ̍9	～桐	2						
315		ŋ̍	31	五	ŋ̍31	ŋ̍3	数字	2						
316		ŋ̍	31	伍	ŋ̍31	ŋ̍3	姓；队～	4						
317		ŋ̍	31	午	ŋ̍31	ŋ̍3	中～，端～	5						
318		ŋ̍	451	誤	ŋ̍451	ŋ̍5	～会，错～	5						
319		ŋ̍	451	悟	ŋ̍451	ŋ̍5	觉～；孙～空	6						
320	f	u	33	呼	fu33	fu1	称～，～吸，招～	8						
321	f	u	31	虎	fu31	fu3	老～	2						
322	f	u	33	虎	fu33	fu1	马～	2						
323	f	u	31	滸	fu31	fu3	水～	2						
324	f	u	451	戽	fu451	fu5	～水（泼水），～斗	9						
325	f	u	213	胡	fu213	fu2	二～ ；姓	5						
326	f	u	25	湖	fu25	fu9	西～	2						
327	f	u	25	狐	fu25	fu9	～狸	2						
328	f	u	25	壺	fu25	fu9	水～	2						
329	f	u	33	乎	fu33	fu1	在～	2						
330	pʰ	iɛu	25	瓠	pʰiau25	pʰiau9	瓠卢，同葫芦	6						
331	f	u	25	鬍	fu25	fu9	～须	2						
332	f	u	25	蝴	fu25	fu9	～蝶	2						
333	f	u	25	糊	fu25	fu9	浆～，～涂	5						
334	f	u	31	戶	fu31	fu3	～口	2						
335	l	u	25	滬	lu25	lu9	上海简称	4						
336	f	u	25	互	fu25	fu9	～相	2						
337	f	u	451	護	fu451	fu5	保～，～士	5						
338	pʰ	iɛu	25	瓠	pʰiau25	pʰiau9	瓠瓜（味似葫芦而长）	10						
339	v	u	33	烏	vu33	vu1	黑	1						
340	v	u	33	汚	vu33	vu1	～染	2						
341	v	u	33	塢	vu33	vu1	船～	2						
342		ɔk	31	惡	ɔk31	ʔɔk7	可～	2						
343	ȵ	i	31	女	ȵi31	ȵi3	女人	2						
344	l	u	25	廬	lu25	lu9	～山	2						
